0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:07 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:07 +0900] "GET /resources/bower_components/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 200 79457
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:07 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:07 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:07 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:07 +0900] "GET /resources/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:36 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:36 +0900] "GET /resources/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:36 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:36 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:13:36 +0900] "GET /resources/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
74.120.14.54 - - [04/Mar/2021:23:00:01 +0900] "GET / HTTP/1.1" 200 164
74.120.14.54 - - [04/Mar/2021:23:00:02 +0900] "GET / HTTP/1.1" 200 164
